,B,Sn,a,c,div_d,div_u,lab,m,b,d,Bd,Snd
0,1.67,0.15,8.85e-07,7.7e-07,"(740, 1200)","(340, 1000)",0_,2.74e-06,17,32,1.635,0.12
1,1.67,0.17,1e-06,6e-07,"(740, 1000)","(740, 1000)",1_,2.74e-06,17,32,1.635,0.145
2,1.67,0.19,1.27e-06,5.4e-07,"(740, 1000)","(740, 1000)",2_,2.74e-06,17,32,1.635,0.165
5,1.67,0.24,1.32e-06,5e-07,"(740, 1000)","(540, 1000)",5_,2.74e-06,17,32,1.635,0.2
